nome,cidade,idade
Melissa Cunha,Rezende de Montenegro,33
Apollo Silva,da Mata,27
Raquel Fonseca,Montenegro das Flores,58
Eduarda Brito,Fonseca,71
Thiago Santos,Azevedo,96
Fernando Machado,Pastor,32
Sophie Fonseca,Costa,67
Dr. Ryan Porto,Marques,79
Antônio da Luz,da Rocha,51
Srta. Lorena Castro,Fernandes do Oeste,98
Nicolas Albuquerque,Barros,97
Dra. Eduarda Correia,Albuquerque do Amparo,96
Evelyn Pastor,Gomes,69
Ana Luiza Cassiano,Garcia,80
Dr. Miguel Fernandes,Cirino,90
João Pedro Albuquerque,Sousa,30
Sra. Maria Luiza Azevedo,Alves de Gonçalves,69
Luara Silveira,da Mota das Flores,74
Melina Pastor,Ribeiro de Ferreira,76
Lucas Gabriel Novaes,Sales da Serra,78
