nome,cidade,idade
Rhavi Sales,Viana dos Dourados,29
Anthony Farias,Correia do Oeste,18
Cauê Pereira,Lima,57
Dr. Léo Fernandes,Castro,100
Catarina Abreu,Pereira de Pacheco,100
Catarina Costa,Duarte,76
Sr. Erick Garcia,Guerra de Gonçalves,76
Nicole Jesus,Sá Verde,38
Otto Cavalcante,Albuquerque do Campo,89
Catarina da Luz,Moraes do Sul,69
Maria Flor Novaes,Freitas de Costa,25
João Guilherme Aragão,da Rocha do Campo,35
Luan Carvalho,Rios,53
Sra. Ana Beatriz Dias,Barbosa,58
Cauã Marques,da Luz das Flores,56
Aylla Borges,Vargas do Sul,85
Davi Miguel da Rocha,da Mota da Serra,65
Srta. Melina Castro,Souza,87
Caleb Costa,Moraes de Cunha,40
Manuella Moraes,Moura,23
